year,total_works,n_scopus,n_wos,n_medline,n_wos_after_deindex,n_scopus_after_deindex,n_medline_after_deindex,n_scopus_deindex,n_wos_deindex,n_medline_deindex,n_wos_journals,n_scopus_journals,n_medline_journals,n_journals,n_retracted,n_retracted_journals,n_paper_mill,n_paper_mill_journals,n_paper_mill_retracted,n_wos_paper_mill_journals,n_paper_mill_wos,n_scopus_paper_mill_journals,n_paper_mill_scopus,n_medline_paper_mill_journals,n_paper_mill_medline
1763,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1764,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1765,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1766,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1767,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1768,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1769,120,49,49,0,0,0,0,0,49,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
1770,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1771,114,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1772,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1773,87,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1774,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1775,98,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1776,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1777,70,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1778,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1779,158,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1780,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1781,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1782,79,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1783,98,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1784,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1785,112,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1786,127,45,45,0,0,0,0,0,45,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
1787,125,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1788,104,43,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
1789,149,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1790,147,37,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
1791,94,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1792,124,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1793,137,44,44,0,0,0,0,0,44,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0
1794,129,35,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
1795,53,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1796,77,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1797,123,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1798,181,32,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0
1799,513,87,87,34,0,0,0,0,53,0,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0
1800,1374,333,318,215,0,0,0,0,6,11,132,145,45,198,0,0,0,0,0,0,0,0,0,0,0
1801,658,107,107,107,0,0,0,0,0,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0
1802,649,125,125,99,0,0,0,0,25,0,4,4,2,12,0,0,0,0,0,0,0,0,0,0,0
1803,753,200,200,200,0,0,0,0,0,0,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0
1804,688,116,116,116,0,0,0,0,0,0,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0
1805,709,193,161,161,0,0,0,0,0,0,2,3,2,10,0,0,0,0,0,0,0,0,0,0,0
1806,683,134,134,134,0,0,0,0,0,0,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0
1807,624,115,115,114,0,0,0,0,0,0,2,2,1,8,0,0,0,0,0,0,0,0,0,0,0
1808,741,126,126,126,0,0,0,0,0,0,2,2,2,9,0,0,0,0,0,0,0,0,0,0,0
1809,980,180,180,117,0,0,0,0,63,0,2,2,1,14,0,0,0,0,0,0,0,0,0,0,0
1810,788,108,108,108,0,0,0,0,0,0,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0
1811,875,152,152,152,0,0,0,0,0,0,1,1,1,13,0,0,0,0,0,0,0,0,0,0,0
