PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37732031","Novel green synthesis of silver nanoparticles mediated by Curcumae kwangsiensis for anti-lung cancer activities: a preclinical trial study","Liu Z, Zhang Z, Du X, Liu Y, Alarfaj A, Hirad A, Ansari SA, Zhang Z.","Arch Med Sci. 2021 Mar 18;19(5):1463-1471. doi: 10.5114/aoms/134059. eCollection 2023.","Liu Z","Arch Med Sci","2021","2023/09/21","PMC10507782","","10.5114/aoms/134059"
"26528373","Biosynthesis of silver nanoparticles using Artocarpus elasticus stem bark extract","Abdullah NI, Ahmad MB, Shameli K.","Chem Cent J. 2015 Nov 2;9:61. doi: 10.1186/s13065-015-0133-0. eCollection 2015.","Abdullah NI","Chem Cent J","2015","2015/11/04","PMC4629401","","10.1186/s13065-015-0133-0"
"37372028","Antioxidant Activities of Photoinduced Phycogenic Silver Nanoparticles and Their Potential Applications","Maduraimuthu V, Ranishree JK, Gopalakrishnan RM, Ayyadurai B, Raja R, Heese K.","Antioxidants (Basel). 2023 Jun 18;12(6):1298. doi: 10.3390/antiox12061298.","Maduraimuthu V","Antioxidants (Basel)","2023","2023/06/28","PMC10295127","","10.3390/antiox12061298"
"33967977","Green Synthesized Silver Nanoparticles: Antibacterial and Anticancer Activities, Biocompatibility, and Analyses of Surface-Attached Proteins","Wypij M, Jędrzejewski T, Trzcińska-Wencel J, Ostrowski M, Rai M, Golińska P.","Front Microbiol. 2021 Apr 22;12:632505. doi: 10.3389/fmicb.2021.632505. eCollection 2021.","Wypij M","Front Microbiol","2021","2021/05/10","PMC8100210","","10.3389/fmicb.2021.632505"
"32792848","Sennoside A drug capped biogenic fabrication of silver nanoparticles and their antibacterial and antifungal activities","Al-Ghamdi AD, Zaheer Z, Aazam ES.","Saudi Pharm J. 2020 Aug;28(8):1035-1048. doi: 10.1016/j.jsps.2020.07.003. Epub 2020 Jul 6.","Al-Ghamdi AD","Saudi Pharm J","2020","2020/08/15","PMC7414101","","10.1016/j.jsps.2020.07.003"
"35560991","Retraction: Shape-specific silver nanoparticles prepared by microwave-assisted green synthesis using pomegranate juice for bacterial inactivation and removal","Shore A.","RSC Adv. 2018 Dec 3;8(69):39785. doi: 10.1039/c8ra90094a. eCollection 2018 Nov 23.","Shore A","RSC Adv","2018","2022/05/13","PMC9091237","","10.1039/c8ra90094a"
"33088659","Characterization of biogenically synthesized silver nanoparticles for therapeutic applications and enzyme nanocomplex generation","Choukade R, Jaiswal A, Kango N.","3 Biotech. 2020 Nov;10(11):462. doi: 10.1007/s13205-020-02450-8. Epub 2020 Oct 6.","Choukade R","3 Biotech","2020","2020/10/22","PMC7538528","","10.1007/s13205-020-02450-8"
"35002413","Green synthesis of Silver nanoparticles using Streptomyces hirsutus strain SNPGA-8 and their characterization, antimicrobial activity, and anticancer activity against human lung carcinoma cell line A549","S S P, Rudayni HA, Bepari A, Niazi SK, Nayaka S.","Saudi J Biol Sci. 2022 Jan;29(1):228-238. doi: 10.1016/j.sjbs.2021.08.084. Epub 2021 Aug 28.","S S P","Saudi J Biol Sci","2022","2022/01/10","PMC8716891","","10.1016/j.sjbs.2021.08.084"
"38146228","Diffused sunlight assisted green synthesis of silver nanoparticles using Cotoneaster nummularia polar extract for antimicrobial and wound healing applications","Assad N, Naeem-Ul-Hassan M, Ajaz Hussain M, Abbas A, Sher M, Muhammad G, Assad Y, Farid-Ul-Haq M.","Nat Prod Res. 2023 Dec 25:1-15. doi: 10.1080/14786419.2023.2295936. Online ahead of print.","Assad N","Nat Prod Res","2023","2023/12/26","","","10.1080/14786419.2023.2295936"
"29853898","Synthesis and Catalytic and Biological Activities of Silver and Copper Nanoparticles Using Cassia occidentalis","Gondwal M, Joshi Nee Pant G.","Int J Biomater. 2018 May 2;2018:6735426. doi: 10.1155/2018/6735426. eCollection 2018.","Gondwal M","Int J Biomater","2018","2018/06/02","PMC5954926","","10.1155/2018/6735426"
